Samples	CN1	CN2	CN3	CN4	CN5	CN6	CN7	CN8	CN9	CN10	CN11	CN12	CN13	CN14	CN15	CN16	CN17	CN18	CN19	CN20	CN21	CN22	CN23	CN24	CN25
TCGA-HT-7611	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	22
TCGA-HT-7676	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0
TCGA-HT-7684	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0
TCGA-HT-7686	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	38
TCGA-HT-7688	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0
TCGA-HT-7689	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0
TCGA-HT-7690	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	41	0	0
TCGA-HT-7693	42	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0
TCGA-HT-7855	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0
TCGA-HT-7858	39	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
TCGA-HT-7873	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	51	0	42	0	0
TCGA-HT-7879	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0
TCGA-HT-7880	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0
TCGA-HT-7884	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	28	0
TCGA-HT-7902	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0
TCGA-HT-8013	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0
TCGA-HT-8018	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0
TCGA-HT-8106	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	53	0	0
TCGA-HT-8108	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	44	0	0
TCGA-HT-8111	37	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0
TCGA-HT-8114	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0
TCGA-HT-8563	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	65	0
TCGA-HT-A5R5	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0
TCGA-HT-A5R7	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	114	0
TCGA-HT-A5RB	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0
TCGA-HT-A614	32	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47
TCGA-HT-A616	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0
TCGA-HT-A618	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0
TCGA-HT-A61B	0	69	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0
TCGA-HT-A74J	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	33	0	0
TCGA-HT-A74O	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0
TCGA-HW-7489	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0
TCGA-HW-7490	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0
TCGA-HW-8319	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0
TCGA-HW-8320	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0
TCGA-HW-8321	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	50	0	0
